source;target;value
6661;10768;419
6661;11014;407
6661;11054;418
6661;12004;435
6661;12027;422
6661;12030;418
6661;12036;412
6661;12044;416
6661;13010;450
6661;13013;428
6661;13040;406
6661;14027;429
6661;14029;423
6661;14039;435
6661;14055;431
6661;14203;411
6661;14204;408
6661;14206;437
6661;14207;413
6661;14209;426
6661;14210;405
6661;14211;429
6661;14214;417
6661;14215;437
6661;14217;422
6661;14224;439
6661;14229;417
6661;14231;437
6661;14246;408
6661;14248;403
6661;14255;417
6661;14257;422
6661;14264;435
6661;14265;442
6661;14267;422
6661;14274;411
6661;14275;434
6661;14277;442
6661;14278;408
6661;14279;431
6661;14284;411
6661;14285;431
6661;14289;415
6661;14400;426
6661;14401;439
6661;14406;408
6661;14413;406
6661;14421;416
6661;14423;419
6661;14430;428
6661;14433;413
6661;14434;402
6661;14435;428
6661;14440;433
6661;14443;408
6661;14445;434
6661;14458;441
6661;14460;406
6661;14463;421
6845;7343;470
6845;8032;411
6845;8507;403
6845;8564;436
6845;8672;401
6845;8866;423
6845;9017;407
6845;9551;403
6845;10075;405
6845;10391;414
6845;10446;405
6845;10463;430
6845;10540;414
6845;10545;401
6845;10587;404
6845;10601;404
6845;10602;429
6845;10609;420
6845;10613;424
6845;10614;405
6845;10620;424
6845;10703;421
6845;10716;431
6845;10726;407
6845;10732;422
6845;10733;448
6845;10756;421
6845;10783;437
6845;10788;407
6845;11000;420
6845;11005;433
6845;11014;410
6845;11023;433
6845;11067;428
6845;12000;425
6845;12004;428
6845;12014;429
6845;12027;437
6845;12035;432
6845;12038;435
6845;12044;413
6845;13008;414
6845;13010;439
6845;13013;402
6845;13024;411
6845;13027;419
6845;13048;417
6845;14005;443
6845;14016;438
6845;14027;408
6845;14038;410
6845;14039;409
6845;14045;404
6845;14046;419
6845;14055;404
6845;14058;421
6845;14072;408
6845;14203;419
6845;14204;417
6845;14206;431
6845;14207;410
6845;14211;410
6845;14215;416
6845;14219;408
6845;14222;410
6845;14224;428
6845;14229;418
6845;14231;419
6845;14233;421
6845;14234;413
6845;14237;441
6845;14241;407
6845;14244;406
6845;14246;415
6845;14249;411
6845;14250;408
6845;14251;441
6845;14262;401
6845;14264;409
6845;14265;429
6845;14270;422
6845;14274;421
6845;14278;402
6845;14284;435
6845;14285;424
6845;14286;418
6845;14400;423
6845;14401;411
6845;14402;419
6845;14404;410
6845;14406;421
6845;14412;406
6845;14413;411
6845;14416;408
6845;14418;424
6845;14421;416
6845;14423;434
6845;14424;420
6845;14427;435
6845;14429;410
6845;14430;408
6845;14433;405
6845;14435;410
6845;14440;406
6845;14441;406
6845;14443;406
6845;14444;410
6845;14445;408
6845;14448;414
6845;14451;424
6845;14457;406
6845;14458;408
6845;14459;407
6845;14462;401
6845;14464;436
6845;14465;425
6845;94428;402
6845;13032;403
6936;7343;424
6936;7824;422
6936;8010;424
6936;8672;403
6936;9551;406
6936;10391;421
6936;10421;419
6936;10463;425
6936;10511;408
6936;10540;415
6936;10566;423
6936;10577;413
6936;10583;423
6936;10602;405
6936;10613;439
6936;10620;419
6936;10621;423
6936;10703;423
6936;10705;430
6936;10726;413
6936;10733;417
6936;10756;441
6936;10760;419
6936;10768;416
6936;11014;436
6936;11054;415
6936;11067;402
6936;12004;433
6936;12027;414
6936;12030;431
6936;12036;408
6936;12044;408
6936;13010;448
6936;13013;421
6936;13035;407
6936;13040;407
6936;14027;421
6936;14029;408
6936;14039;422
6936;14055;422
6936;14204;405
6936;14206;430
